category,comment,director,ranking,rate,region,score_number,title,year
剧情 家庭,人生不能像做菜，把所有的料都准备好了才下锅。,"李安 ,Ang Lee",60,9.1,中国台湾 美国,386958,"饮食男女,飲食男女,Eat Drink Man Woman",1994
剧情 动作 科幻 惊悚,一张面具背后的理想与革命。,"詹姆斯·麦克特格 ,James McTeigue",61,8.9,美国 英国 德国,737100,"V字仇杀队,V for Vendetta,V煞(港)  /  V怪客(台)",2005
动作 科幻,视觉革命。,"安迪·沃卓斯基 ,Andy Wachowski ",62,9.0,美国 澳大利亚,531364,"黑客帝国,The Matrix,廿二世纪杀人网络(港)  /  骇客任务(台)",1999
传记 犯罪 剧情,骗子大师和执著警探的你追我跑故事。 ,"史蒂文·斯皮尔伯格 ,Steven Spielberg",63,9.0,美国 加拿大,534353,"猫鼠游戏,Catch Me If You Can,逍遥法外  /  神鬼交锋(台)",2002
剧情 传记 历史 战争 音乐,音乐能化解仇恨。,"罗曼·波兰斯基 ,Roman Polanski",64,9.1,法国 德国 英国 波兰,349739,"钢琴家,The Pianist,战地琴声(台)  /  战地琴人",2002
剧情 爱情 奇幻,在时间之河里感受溺水之苦。,"大卫·芬奇 ,David Fincher",65,8.9,美国,682436,"本杰明·巴顿奇事,The Curious Case of Benjamin Button,奇幻逆缘(港)  /  班杰明的奇幻旅程(台)",2008
剧情 犯罪 悬疑 惊悚,你以为你以为的就是你以为的。,"奥里奥尔·保罗 ,Oriol Paulo",66,8.8,西班牙,791917,"看不见的客人,Contratiempo,佈局(台)  /  死无对证(港)",2016
剧情 喜剧 动作 西部,你给我翻译翻译，神马叫做TMD的惊喜。,"姜文 ,Wen Jiang",67,8.8,中国大陆 中国香港,1108695,"让子弹飞,让子弹飞一会儿  /  火烧云",2010
剧情 战争 情色,美丽无罪。,"朱塞佩·托纳多雷 ,Giuseppe Tornatore",68,8.9,意大利 美国,668067,"西西里的美丽传说,Malèna,真爱伴我行(台)  /  玛莲娜",2000
纪录片,海豚的微笑，是世界上最高明的伪装。,"路易·西霍尤斯 ,Louie Psihoyos",69,9.3,美国,277655,"海豚湾,The Cove,血色海湾(台)  /  海湾",2009
剧情 儿童 家庭,奔跑的孩子是天使。,"马基德·马基迪 ,Majid Majidi",70,9.2,伊朗,271679,"小鞋子,بچههای آسمان,天堂的孩子  /  小童鞋",1997
剧情 历史 战争,美利坚精神输出大片No1.,"史蒂文·斯皮尔伯格 ,Steven Spielberg",71,9.0,美国,440862,"拯救大兵瑞恩,Saving Private Ryan,雷霆救兵(港)  /  抢救雷恩大兵(台)",1998
剧情 爱情,暗恋的极致。,"岩井俊二 ,Shunji Iwai",72,8.9,日本,627937,"情书,Love Letter,When I Close My Eyes  /  Letters of Love",1995
剧情 传记 爱情 歌舞,用音乐化解仇恨，让歌声串起美好。,"罗伯特·怀斯 ,Robert Wise",73,9.0,美国,407977,"音乐之声,The Sound of Music,仙乐飘飘处处闻(港)  /  真善美(台)",1965
犯罪 剧情,往事如烟，无处祭奠。,"赛尔乔·莱翁内 ,Sergio Leone",74,9.2,美国 意大利,290386,"美国往事,Once Upon a Time in America,四海兄弟(台)  /  义薄云天(港)",1984
剧情 战争,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,"马克·赫尔曼 ,Mark Herman",75,9.1,英国 美国,334029,"穿条纹睡衣的男孩,The Boy in the Striped Pajamas,穿条纹衣服的男孩  /  穿条纹衣的男孩",2008
剧情 悬疑 惊悚,孪生蝙蝠侠大战克隆金刚狼。,"克里斯托弗·诺兰 ,Christopher Nolan",76,8.9,美国 英国,583522,"致命魔术,The Prestige,顶尖对决(台)  /  死亡魔法(港)",2006
剧情 喜剧 传记,去除成见，需要勇气。,"彼得·法雷里 ,Peter Farrelly",77,8.9,美国,1015572,"绿皮书,Green Book,绿簿旅友(港)  /  幸福绿皮书(台)",2018
剧情 犯罪 悬疑 惊悚,警察抓小偷，老鼠玩死猫。,"大卫·芬奇 ,David Fincher",78,8.8,美国,680683,"七宗罪,Se7en,火线追缉令(台)  /  7宗罪",1995
