category,comment,director,ranking,rate,region,score_number,title,year
喜剧 动画 冒险,老少皆宜，这就是好莱坞动画的魅力。,"科克·德·米科 ,Kirk De Micco ",152,8.7,美国,599620,"疯狂原始人,The Croods,古鲁家族(港 / 台) ",2013
冒险 动画 奇幻,想你时你在闹海。,"严定宪 ,Dingxian Yan ",153,9.1,中国大陆,165889,"哪吒闹海,Prince Nezha's Triumph Against Dragon King  /  Nezha nao hai",1979
剧情 家庭,爱并不需要智商 。,"杰茜·尼尔森 ,Jessie Nelson",154,8.9,美国,201671,"我是山姆,I Am Sam,不一样的爸爸(港)  /  他不笨，他是我爸爸(台)",2001
剧情 犯罪 悬疑,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,"忻钰坤 ,Yukun Xin",155,8.7,中国大陆,334352,"心迷宫,殡棺  /  The Coffin in the Mountain",2014
剧情 犯罪,怼天怼地，你走后，她与世界为敌。,"马丁·麦克唐纳 ,Martin McDonagh",156,8.7,美国 英国,585537,"三块广告牌,Three Billboards Outside Ebbing, Missouri,意外(台)  /  广告牌杀人事件(港)",2017
动画 剧情 战争,幸福是生生不息，却难以触及的远。 ,"高畑勋 ,Isao Takahata",157,8.7,日本,310764,"萤火虫之墓,火垂るの墓,再见萤火虫(港)  /  萤火挽歌",1988
剧情 喜剧 动作 犯罪,香港浪漫主义警匪动作片的巅峰之作。,"吴宇森 ,John Woo",158,8.8,中国香港,275328,"纵横四海,緃横四海,Once a Thief",1991
喜剧 剧情 爱情,爱，是个动词。,"理查德·柯蒂斯 ,Richard Curtis",159,8.6,英国 美国 法国,506396,"真爱至上,Love Actually,爱是您，爱是我(台)  /  真的恋爱了(港)",2003
纪录片,土壤没有落叶不会肥沃，没有了你就不算人生。,"伏原健之 ,Kenshi Fushihara",160,9.5,日本,81362,"人生果实,人生フルーツ,积存时间的生活(台)  /  人生水果",2017
剧情 传记 同性,Jared Leto的腿比女人还美！,"让-马克·瓦雷 ,Jean-Marc Vallée",161,8.8,美国,311807,"达拉斯买家俱乐部,Dallas Buyers Club,续命枭雄(港)  /  药命俱乐部(台)",2013
动作 科幻 冒险,写给影迷，动漫迷和游戏迷的一封情书。,"史蒂文·斯皮尔伯格 ,Steven Spielberg",162,8.7,美国,978131,"头号玩家,Ready Player One,玩家一号  /  挑战者1号(港)",2018
剧情 动作 爱情 武侠 古装,电影诗。,"王家卫 ,Kar Wai Wong",163,8.6,中国香港 中国台湾,419812,"东邪西毒,東邪西毒,Ashes of Time",1994
剧情 喜剧 犯罪,始于荒诞，止于更荒诞。,"达米安·斯兹弗隆 ,Damián Szifron",164,8.8,阿根廷 西班牙,281933,"荒蛮故事,Relatos salvajes,蛮荒故事  /  生命中最抓狂的小事(台)",2014
剧情 音乐,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,"达米恩·查泽雷 ,Damien Chazelle",165,8.7,美国,382112,"爆裂鼓手,Whiplash,鼓动真我(港)  /  进击的鼓手(台)",2014
犯罪 剧情 悬疑 惊悚,一个针管引发的血案。,"克里斯托弗·诺兰 ,Christopher Nolan",166,8.6,美国,426482,"记忆碎片,Memento,失忆  /  记忆拼图(台)",2000
剧情 爱情,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,"丹尼·鲍尔 ,Danny Boyle ",167,8.6,英国 美国,551623,"贫民窟的百万富翁,Slumdog Millionaire,贫民百万富翁(台)  /  一百万零一夜(港)",2008
剧情 惊悚,黑暗之美。,"达伦·阿罗诺夫斯基 ,Darren Aronofsky",168,8.6,美国,617873,"黑天鹅,Black Swan,夺命黑天鹅  /  霸王别鹅(豆友译名)",2010
动作 惊悚 灾难,揭露人性的丧尸题材力作。,"延尚昊 ,Sang-ho Yeon",169,8.5,韩国,757526,"釜山行,부산행,尸速列车(台)  /  尸杀列车(港)",2016
剧情 爱情,偷情本没有这样美。,"王家卫 ,Kar Wai Wong",170,8.6,中国香港,390789,"花样年华,花樣年華,In the Mood for Love",2000
剧情 爱情 动画,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,"新海诚 ,Makoto Shinkai",171,8.4,日本,937225,"你的名字。,君の名は。,你的名字  /  君之名",2016
剧情 历史 战争,当这个世界闭上双眼，他却敞开了怀抱。,"特瑞·乔治 ,Terry George",172,8.9,英国 南非 意大利,197188,"卢旺达饭店,Hotel Rwanda,卢安达饭店(台)",2004
剧情,养狗三日，便会对你终其一生。,",Seijirô Kôyama",173,9.2,日本,125059,"忠犬八公物语,ハチ公物語,八千公物语  /  阿八的故事",1987
喜剧 动画 冒险,愿我们都不用长大，每一座城堡都能永远存在。,"彼特·道格特 ,Pete Docter ",174,8.7,美国,402434,"头脑特工队,Inside Out,玩转脑朋友(港)  /  脑筋急转弯(台)",2015
剧情 传记 战争 同性,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,"莫滕·泰杜姆 ,Morten Tyldum",175,8.7,英国 美国,416765,"模仿游戏,The Imitation Game,解码游戏(港)  /  模拟游戏",2014
动作 科幻,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,",Andy Wachowski ",176,8.7,美国 澳大利亚,282848,"黑客帝国3：矩阵革命,The Matrix Revolutions,骇客任务完结篇：最后战役  /  廿二世纪杀人网络3：惊变世纪",2003
剧情,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,"巴瑞·莱文森 ,Barry Levinson",177,8.7,美国,300453,"雨人,Rain Man,手足情未了(港)  /  手足情深",1988
剧情,惠及一生的美丽。,"汉内斯·赫尔姆 ,Hannes Holm",178,8.8,瑞典,246189,"一个叫欧维的男人决定去死,En man som heter Ove,明天别再来敲门(台)  /  想死冇咁易(港)",2015
剧情 动画 儿童,感情不分食草或者食肉。,"藤森雅也 ,Masaya Fujimori",179,8.9,日本,238048,"你看起来好像很好吃,おまえうまそうだな,你看起来很好吃(台)  /  你看上去好像很好吃",2010
喜剧 动画 奇幻 冒险,迪士尼和皮克斯拿错剧本的产物。,"瑞奇·莫尔 ,Rich Moore",180,8.7,美国,366104,"无敌破坏王,Wreck-It Ralph,破坏王拉尔夫  /  破坏王大冒险",2012
动画 奇幻 惊悚,好的剧本是，就算你猜到了结局也猜不到全部。,"今敏 ,Satoshi Kon",181,8.9,日本,179008,"未麻的部屋,Perfect Blue,蓝色的恐惧  /  蓝色恐惧",1997
奇幻 冒险,不一样的导演，不一样的哈利·波特。,",Alfonso Cuarón",182,8.6,英国 美国,365679,"哈利·波特与阿兹卡班的囚徒,Harry Potter and the Prisoner of Azkaban,哈利波特3：阿兹卡班的逃犯(港 / 台) ",2004
剧情 爱情,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,"尼克·卡索维茨 ,Nick Cassavetes",183,8.5,美国,454140,"恋恋笔记本,The Notebook,忘了·忘不了(港)  /  手札情缘(台)",2004
喜剧 动画 冒险,松鼠才是角儿。,"卡洛斯·沙尔丹哈 ,Carlos Saldanha ",184,8.6,美国,440796,"冰川时代,Ice Age,冰河世纪  /  冰原历险记",2002
剧情 家庭,是枝裕和的家庭习作。,"是枝裕和 ,Hirokazu Koreeda",185,8.8,日本,264607,"海街日记,海街diary,海街女孩日记(港)  /  Kamakura Diary",2015
剧情 家庭,我们都有权利不与自己的过去和解。,"肯尼斯·罗纳根 ,Kenneth Lonergan",186,8.6,美国,341532,"海边的曼彻斯特,Manchester by the Sea,情系海边之城(港)",2016
奇幻 冒险,魔法的密室之门已打开...,",Chris Columbus",187,8.6,美国 英国 德国,384645,"哈利·波特与密室,Harry Potter and the Chamber of Secrets,哈利波特2：消失的密室(港 / 台) ",2002
剧情 犯罪,要做就做得狠一点，这样才能活下去。,"朴勋政 ,Hoon-jung Park",188,8.8,韩国,215401,"新世界,신세계,暗黑新世界(台)  /  New World",2013
纪录片,有一些东西不应该被遗忘。,"郭柯 ,Ke Guo",189,8.7,中国大陆,205152,"二十二,Twenty Two  /  22",2015
喜剧 战争,永远看不腻的喜剧。,"杰拉尔·乌里 ,Gérard Oury",190,8.9,法国 英国,163376,"虎口脱险,La grande vadrouille,横冲直撞出重围(港)  /  大進擊(台)",1966
剧情 家庭,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,"伦尼·阿伯拉罕森 ,Lenny Abrahamson",191,8.8,爱尔兰 加拿大 英国 美国,273564,"房间,Room,不存在的房间(台)  /  抖室(港)",2015
剧情 悬疑 惊悚,不要企图在重复中寻找已经失去的爱。,"克里斯托弗·史密斯 ,Christopher Smith",192,8.5,英国 澳大利亚,543656,"恐怖游轮,Triangle,汪洋血迷宮(台)  /  轮回三角",2009
喜剧 歌舞 爱情,骨灰级歌舞片。,"斯坦利·多南 ,Stanley Donen ",193,9.0,美国,142923,"雨中曲,Singin' in the Rain,雨中情  /  万花嬉春",1952
冒险 剧情 科幻,对爱的执着，可以超越一切。,"史蒂文·斯皮尔伯格 ,Steven Spielberg",194,8.6,美国,303021,"人工智能,Artificial Intelligence: AI,AI人工智慧",2001
动画 奇幻 冒险,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,"宫崎骏 ,Hayao Miyazaki",195,8.6,日本,323087,"魔女宅急便,魔女の宅急便,魔女琪琪(台)  /  小魔女限时专送",1989
悬疑 惊悚 恐怖,故事的反转与反转，分裂电影的始祖。,"阿尔弗雷德·希区柯克 ,Alfred Hitchcock",196,9.0,美国,155716,"惊魂记,Psycho,精神病患者  /  触目惊心",1960
剧情 儿童 家庭,世界不完美，爱会有奇迹。,"斯蒂芬·卓博斯基 ,Stephen Chbosky",197,8.6,美国 中国香港,398224,"奇迹男孩,Wonder,奇迹",2017
喜剧 犯罪,中国版《两杆大烟枪》。,"宁浩 ,Hao Ning",198,8.4,中国大陆 中国香港,550057,"疯狂的石头,Crazy Stone",2006
纪录片,大海啊，不全是水。,"雅克·贝汉 ,Jacques Perrin ",199,9.1,法国 瑞士 西班牙 美国 阿联酋,127121,"海洋,Océans,Oceans  /  海洋",2009
剧情 犯罪 悬疑,人生的N种可能性。,"黑泽明 ,Akira Kurosawa",200,8.8,日本,209662,"罗生门,羅生門,Rashomon",1950
剧情 爱情 战争 西部,传奇，不是每个人都可以拥有。,"爱德华·兹威克 ,Edward Zwick",201,8.8,美国,208660,"燃情岁月,Legends of the Fall,秋日传奇  /  真爱一世情(台)",1994
动作 科幻,少见的超越首部的续集，动作片中的经典。,"詹姆斯·卡梅隆 ,James Cameron",202,8.7,美国 法国,242919,"终结者2：审判日,Terminator 2: Judgment Day,终结者2  /  终结者2：末日审判",1991
剧情 爱情 战争,中国式内在的美国电影。,"茂文·勒鲁瓦 ,Mervyn LeRoy",203,8.8,美国,191145,"魂断蓝桥,Waterloo Bridge,滑铁卢桥  /  断桥残梦",1940
剧情 爱情,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,"理查德·林克莱特 ,Richard Linklater",204,8.8,美国 希腊,213263,"爱在午夜降临前,Before Midnight,爱在午夜希腊时(台)  /  情约半生(港)",2013
剧情 爱情 科幻 动画,爱上未来的你。 ,"细田守 ,Mamoru Hosoda",205,8.6,日本,286039,"穿越时空的少女,時をかける少女,跳跃吧！时空少女(台)  /  Toki o kakeru shôjo",2006
剧情 喜剧 爱情,黑小鸭速效美白记。,"普特鹏·普罗萨卡·那·萨克那卡林 ,Puttipong Promsaka Na Sakolnakorn ",206,8.4,泰国,736441,"初恋这件小事,สิ่งเล็กเล็กที่เรียกว่า...รัก,初恋那件小事(港)  /  暗恋那点小事",2010
剧情 犯罪,坚硬的信仰。,"陆川 ,Chuan Lu",207,8.8,中国大陆 中国香港,201265,"可可西里,Kekexili: Mountain Patrol",2004
剧情 犯罪 家庭,我们组成了家。,"是枝裕和 ,Hirokazu Koreeda",208,8.7,日本,557829,"小偷家族,万引き家族,Shoplifters  /  Une Affaire de Famille",2018
犯罪 剧情 奇幻 悬疑,天使暂时离开。,",Frank Darabont",209,8.8,美国,182737,"绿里奇迹,The Green Mile,绿色奇迹(台)  /  绿色英里",1999
科幻 惊悚 冒险,现代科幻电影的开山之作，最伟大导演的最伟大影片。,"斯坦利·库布里克 ,Stanley Kubrick",210,8.8,英国 美国,190764,"2001太空漫游,2001: A Space Odyssey,2001：星际漫游  /  2001：太空奥德赛",1968
剧情 喜剧,来啊，互相伤害啊！,"保罗·格诺维瑟 ,Paolo Genovese",211,8.5,意大利,388073,"完美陌生人,Perfetti sconosciuti,完美谎情(港)  /  波动的信息分享",2016
剧情 犯罪,弱者送给弱者的一刀。,"杨德昌 ,Edward Yang",212,8.8,中国台湾,176079,"牯岭街少年杀人事件,牯嶺街少年殺人事件,A Brighter Summer Day",1991
剧情 犯罪,昆汀同学越来越变态了，比北野武还杜琪峰。,",Quentin Tarantino",213,8.6,德国 美国,341963,"无耻混蛋,Inglourious Basterds,恶棍特工(台)  /  希魔撞正杀人狂(港)",2009
犯罪 剧情 爱情,王家卫是一种风格，张国荣是一个代表。,"王家卫 ,Kar Wai Wong",214,8.5,中国香港,343235,"阿飞正传,阿飛正傳,Days of Being Wild",1990
剧情 犯罪 奇幻,一个单凭体香达到高潮的男人。,"汤姆·提克威 ,Tom Tykwer",215,8.5,德国 法国 西班牙 美国,408030,"香水,Perfume: The Story of a Murderer,香水：一个杀人犯的故事  /  香水：一个谋杀犯的故事",2006
动作 爱情 武侠 古装,嬉笑怒骂，调风动月。,"李惠民 ,Raymond Lee",216,8.6,中国香港 中国大陆,305869,"新龙门客栈,新龍門客棧,New Dragon Gate Inn",1992
科幻 悬疑 惊悚,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,"邓肯·琼斯 ,Duncan Jones",217,8.4,美国 加拿大,587377,"源代码,Source Code,启动原始码(台)  /  危机解密(港)",2011
动作 悬疑 惊悚,谁说王家卫镜头很晃？,"保罗·格林格拉斯 ,Paul Greengrass",218,8.6,美国 德国,252081,"谍影重重2,The Bourne Supremacy,叛谍追击2：机密圈套(港)  /  神鬼认证：神鬼疑云(台)",2004
喜剧 剧情 爱情,永远的小人物，伟大的卓别林。,",Charles Chaplin",219,9.3,美国,83281,"城市之光,City Lights,City Lights: A Comedy Romance in Pantomime  /  Lichter der Großstadt",1931
动作 悬疑 惊悚,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,"道格·里曼 ,Doug Liman",220,8.6,美国 德国 捷克,301466,"谍影重重,The Bourne Identity,叛谍追击(港)  /  神鬼认证(台)",2002
剧情 犯罪,不可猜的青春迷笛。 ,"丹尼·博伊尔 ,Danny Boyle",221,8.5,英国,332540,"猜火车,Trainspotting,迷幻列车(港)  /  定位的火车",1996
剧情 爱情 奇幻 古装,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,"徐克 ,Hark Tsui",222,8.5,中国香港,351961,"青蛇,Green Snake",1993
剧情 犯罪,做一颗让别人需要你的棋子。,"安德鲁·尼科尔 ,Andrew Niccol",223,8.6,美国 法国,254367,"战争之王,Lord of War,军火之王(台 / 港) ",2005
剧情 儿童 家庭,天使保护事件始末。,"阿米尔·汗 ,Aamir Khan",224,8.9,印度,143370,"地球上的星星,Taare Zameen Par,心中的小星星(台)  /  每一个孩子都是特别的",2007
剧情 惊悚 冒险,每个美丽事物背后都是滴血的现实。,"爱德华·兹威克 ,Edward Zwick",225,8.6,美国 德国,242492,"血钻,Blood Diamond,血钻石(台)  /  血腥钻石",2006
剧情 爱情,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,"史蒂芬·戴德利 ,Stephen Daldry",226,8.6,美国 德国,362013,"朗读者,The Reader,为爱朗读(台)  /  读爱(港)",2008
剧情 惊悚,世界离独裁只有五天。,"丹尼斯·甘塞尔 ,Dennis Gansel",227,8.7,德国,196826,"浪潮,Die Welle,恶魔教室(台)  /  白恤暴潮(港)",2008
剧情 爱情 情色,假戏真情，爱欲深海,"李安 ,Ang Lee",228,8.4,中国台湾 中国大陆 美国 中国香港,458489,"色，戒,色|戒  /  色·戒",2007
科幻 悬疑 惊悚,小成本大魅力。,"詹姆斯·沃德·布柯特 ,James Ward Byrkit",229,8.5,美国 英国,342200,"彗星来的那一夜,Coherence,相干性  /  相干效应",2013
冒险 喜剧 剧情,用剩余不多的时间，去燃烧整个生命。,"罗伯·莱纳 ,Rob Reiner",230,8.6,美国,248879,"遗愿清单,The Bucket List,玩转身前事(港)  /  一路玩到挂(台)",2007
动作 科幻 冒险,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,"乔治·米勒 ,George Miller",231,8.6,澳大利亚 美国,353917,"疯狂的麦克斯4：狂暴之路,Mad Max: Fury Road,末日先锋：战甲飞车(港)  /  疯狂麦斯：愤怒道(台)",2015
剧情 喜剧 犯罪,人们可以登上月球，却永远无法探索人们内心的宇宙。,"黄信尧 ,Hsin-yao Huang",232,8.7,中国台湾,255687,"大佛普拉斯,The Great Buddha+",2017
剧情 家庭,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,"是枝裕和 ,Hirokazu Koreeda",233,8.8,日本,171633,"步履不停,歩いても 歩いても,横山家之味(港 / 台) ",2008
剧情 喜剧 动作,宝莱坞的萝莉与大叔。,"卡比尔·汗 ,Kabir Khan",234,8.4,印度,337241,"小萝莉的猴神大叔,Bajrangi Bhaijaan,娃娃返乡任务(台)  /  宝莱坞之钢铁奶爸(台)",2015
喜剧 爱情 音乐,爱我就给我看你的播放列表。,"约翰·卡尼 ,John Carney",235,8.5,美国,289721,"再次出发之纽约遇见你,Begin Again,再次出发  /  歌曲改变人生",2013
剧情 传记,新闻人的理性求真。,"托马斯·麦卡锡 ,Thomas McCarthy",236,8.8,美国,201526,"聚焦,Spotlight,焦点追击(港)  /  惊爆焦点(台)",2015
犯罪 悬疑 惊悚,诺兰的牛逼来源于内心散发出的恐惧。,"克里斯托弗·诺兰 ,Christopher Nolan",237,8.9,英国,126449,"追随,Following,跟踪(台)  /  致命追踪",1998
剧情 家庭,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,"小津安二郎 ,Yasujirô Ozu",238,9.2,日本,86926,"东京物语,東京物語,东京故事  /  Tokyo Story",1953
剧情 喜剧,过去的如果就让它过去了，未来只会越来越糟！,"周申 ,Shen Zhou ",239,8.3,中国大陆,633072,"驴得水,Mr. Donkey",2016
剧情 家庭,只有有信仰的人才能说出事实真相。,"阿斯哈·法哈蒂 , Asghar Farhadi",240,8.7,伊朗 法国,190527,"一次别离,جدایی نادر از سیمین,分居风暴(台)  /  伊朗式分居(港)",2011
动作 历史 战争,还原真实而残酷的战争。,"雷德利·斯科特 ,Ridley Scott",241,8.7,美国,201234,"黑鹰坠落,Black Hawk Down,黑鹰15小时(港)  /  黑鹰计划(台)",2001
剧情 科幻 惊悚,一部能引人思考的科幻励志片。,"安德鲁·尼科尔 ,Andrew Niccol",242,8.8,美国,163485,"千钧一发,Gattaca,变种异煞  /  自然人",1997
剧情 爱情,你要相信，这世上真的有爱存在，不管在什么年纪 ,"秋昌民 ,Chang-min Choo",243,9.0,韩国,103908,"我爱你,그대를 사랑합니다,爱你  /  爱，是一生相伴(台)",2011
犯罪 剧情 科幻,我完全康复了。,",Stanley Kubrick",244,8.5,英国 美国,272357,"发条橙,A Clockwork Orange,发条桔子  /  发条橙子",1971
纪录片 家庭,来也匆匆去也匆匆，就这样风雨兼程。,"陆庆屹 ,Lu Qing Yi",245,8.9,中国大陆,112029,"四个春天,Four Springs",2017
剧情 犯罪 悬疑 惊悚,,"阿尼什·查甘蒂 ,Aneesh Chaganty",246,8.6,美国 俄罗斯,364715,"网络谜踪,Searching,人肉搜寻(港)  /  人肉搜索(台)",2018
剧情 科幻,生病的E.T.皮肤的颜色就像柿子饼。,"史蒂文·斯皮尔伯格 ,Steven Spielberg",247,8.6,美国,248873,"E.T. 外星人,E.T.: The Extra-Terrestrial,外星人E.T.  /  外星人",1982
犯罪 剧情,天使与魔鬼的冲撞。,"保罗·哈吉斯 ,Paul Haggis",248,8.6,美国 德国,244208,"撞车,Crash,冲击效应  /  冲撞",2004
动作 科幻 犯罪 惊悚,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,"吴宇森 ,John Woo",249,8.5,美国,309881,"变脸,Face/Off,夺面双雄  /  夺命双雄",1997
剧情,一场没有春天的噩梦。,"达伦·阿伦诺夫斯基 ,Darren Aronofsky",250,8.7,美国,160042,"梦之安魂曲,Requiem for a Dream,噩梦挽歌(台)  /  迷上瘾(港)",2000
